srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|cache control|server|method|unique service name|notification sub type|request version|search type|notification type|search target|uri,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|49405,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37432,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52726,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|40735,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|38478,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|59922|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50135,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|58982|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|38565,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52822,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37261,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|57535|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|44109|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|38507,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|39851,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50787,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|49784,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|47174,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|48490,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|59190,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|49485|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|36464,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|48413,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|49745,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|50341|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|60271,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50884,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|47289,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|49814,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|36154|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.208|17|1900|54244,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37599,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50596,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50589,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|51892,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|48002|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|37251|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|37388|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50643,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|59047,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|60045,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|54295|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|49607,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|48309,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50600,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42730,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42706,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|54754,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|39085,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|54694,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52082,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|42618|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53506,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42826,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52218,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|54859,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|39230,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|41673|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|39294,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|40241,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52220,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53483,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43829,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43828,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42535,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|49904|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43832,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|40245|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|41198,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43907,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|47646|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|48718|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53344,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|41357,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42677,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53278,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|41818,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.208|17|1900|60848,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|40594,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52616,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|40625,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37022,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53981,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|38332,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|41977,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52699,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|51366,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37040,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|50077,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|37090,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42937,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|40310,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|54986,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42994,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|40330|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|51028,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52340,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52291,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53732,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|45350|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|39209|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53772,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|41781,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|52491,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.193|17|1900|3080,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|44976|1900|max-age=60|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|NOTIFY|uuid:Upnp-BasicDevice-1_0-00166CAB6B88::upnp:rootdevice|ssdp:alive|HTTP/1.1|null|upnp:rootdevice|null|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|45760,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|56475,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|55137,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|45913,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.208|17|1900|63610,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|44635,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|42436|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|56613,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|44559,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|55203,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|45857,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|57875,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.208|17|1900|63598,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43276,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|55260,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|52011|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|58919,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|46849,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|45511,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|58876,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|1900|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|ssdp:all|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|57535,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|34887,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|57514,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|57587,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|44249,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|38704|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|34980,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|58925,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|33640,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|56334,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|60698|1900|max-age=60|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|NOTIFY|uuid:Upnp-BasicDevice-1_0-00166CAB6B88::upnp:rootdevice|ssdp:alive|HTTP/1.1|null|upnp:rootdevice|null|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|44383,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|56346,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|55091,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|41209|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|37982|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43566,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|58489|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43732,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43779,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42378,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|54352,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|55682,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|53061,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|44710,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|36673|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|36546|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|43339,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|55313,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|40158|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42060,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42035,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|56681,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|55338,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|42089,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|45046|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|35203|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|54143,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|54194,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.180|17|1900|3942,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|59585,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|58253,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|239.255.255.250|17|58087|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|56522|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|46802|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|46801|1900|max-age=60|Ubuntu/precise UPnP/1.1 MiniUPnPd/1.7|NOTIFY|uuid:Upnp-BasicDevice-1_0-00166CAB6B88::upnp:rootdevice|ssdp:alive|HTTP/1.1|null|upnp:rootdevice|null|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|44401|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|239.255.255.250|17|44530|1900|null|null|M-SEARCH|null|null|HTTP/1.1|"""ssdp:discover"""|null|urn:schemas-upnp-org:device:InternetGatewayDevice:1|*,,
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|60541,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|35577,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|46231,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|35587,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|45085,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|57050,,|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.249|192.168.1.239|17|1900|60693,,|null|null|null|null|null|null|null|null|null|null
