srcMac| dstMac| ethType| srcIp| dstIp| ipProto| srcPort| dstPort|chaddr|host name|vendor class identifier|flags|giaddr|opcode|yiaddr|htype|xid|ciaddr|siaddr|sname|secs|hops|parameter request list|hlen,,
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68,,|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null|null
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|2e28fe7b|c0a801f8|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.249|17|67|68|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|8a682b03|c0a801f9|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|b74e3434|00000000|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.1|192.168.1.248|17|67|68|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|5bef866a|c0a801f8|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.248|192.168.1.1|17|68|67|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|41a36046|c0a801f8|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|336b5637|00000000|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.248|192.168.1.1|17|68|67|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|c0cbcb05|c0a801f8|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|0.0.0.0|255.255.255.255|17|68|67|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|94adbc47|00000000|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
null|null|0x0800|192.168.1.248|192.168.1.1|17|68|67|00166cab6b88|null|756468637020312e31392e34|0.0|0.0|1.0|0.0|1.0|4718a73f|c0a801f8|0.0|0.0|0.0|0.0|0103060c0f1c2a|06,,
